latitude,longitude,acq_date,brightness,bright_t31,frp,confidence
-12.45375,26.70062,2024-07-08,344.22,304.88,24.31,n
-11.19294,20.85023,2024-06-14,347.69,313.54,24.14,n
47.90093,130.98317,2024-04-30,353.12,297.23,12.55,n
-13.28363,30.19549,2024-08-01,353.26,299.23,11.01,n
-15.50938,-67.72554,2024-10-14,339.97,299.59,24.19,n
10.50218,20.82928,2025-01-30,345.49,312.08,13.0,n
18.43812,-100.2195,2024-05-07,348.94,319.55,34.9,n
8.72716,33.3934,2024-02-24,348.01,311.46,25.43,n
6.1419,12.66266,2024-12-31,355.83,301.16,17.53,n
18.5525,-95.90839,2024-05-09,353.28,309.66,10.55,n
35.09973,47.14225,2024-10-18,347.07,313.62,52.76,n
-13.53907,-63.02455,2024-08-27,352.51,315.72,10.58,n
-9.89361,-65.00774,2024-08-03,352.87,290.13,38.05,n
53.33309,120.17567,2024-07-02,367.0,304.76,16.95,h
13.18246,105.11008,2024-04-27,345.13,306.44,21.08,n
6.21218,-9.48964,2024-03-26,337.95,286.52,25.59,n
-15.18689,-61.83092,2024-09-27,335.78,296.31,54.11,n
-16.3362,34.46514,2024-08-15,354.26,316.21,13.83,n
36.88438,-89.40871,2024-09-08,340.33,308.46,21.23,n
-17.87789,-59.49437,2024-08-28,350.2,305.02,21.54,n
4.60168,31.07551,2024-12-27,343.49,306.68,12.61,n
16.08278,106.14317,2024-03-05,343.26,304.11,19.34,n
6.5737,30.32743,2024-03-07,349.04,292.85,13.42,n
54.79108,118.39786,2024-06-22,367.0,290.69,15.0,h
3.33609,20.15206,2024-02-19,345.77,286.08,14.23,n
49.37694,124.59347,2024-05-01,351.45,267.11,14.13,n
-7.25826,16.83879,2024-05-10,338.08,306.97,69.31,n
-19.84803,-56.62668,2024-08-04,337.52,295.98,18.21,n
-22.96787,130.23834,2025-01-25,354.16,312.34,37.76,n
-6.63552,20.29041,2024-06-20,342.28,311.4,46.05,n
-4.02523,17.05039,2024-08-23,340.84,303.07,11.34,n
-9.85546,18.51787,2024-08-06,342.94,313.11,60.59,n
-8.09052,21.64883,2024-05-20,337.34,304.99,18.59,n
-14.4918,20.74036,2024-09-28,352.83,316.55,20.9,n
55.74325,-107.04082,2024-07-19,347.15,301.74,10.13,n
-10.53046,17.10109,2024-08-31,355.49,297.81,15.29,n
-11.70999,17.22481,2024-08-13,355.51,312.55,25.1,n
-16.91122,134.06277,2025-01-19,367.0,303.36,14.88,h
-6.78325,-55.24384,2024-08-11,367.0,295.55,16.22,h
49.09841,130.62349,2024-05-08,337.76,301.51,23.17,n
-16.68197,-55.36307,2024-09-07,343.97,311.67,15.36,n
-9.63861,23.88339,2024-05-17,330.34,299.1,13.74,n
6.54596,14.34513,2025-01-30,354.79,320.2,17.1,n
-12.84449,-67.57225,2024-09-29,343.68,295.98,37.3,n
-13.13994,20.59167,2024-09-26,342.98,310.96,14.06,n
-8.04269,34.38052,2024-08-13,345.71,297.52,11.31,n
55.73706,-103.32594,2024-09-11,295.14,280.52,10.25,n
-10.43462,29.06675,2024-08-01,367.0,301.49,10.44,h
-16.76622,-60.06449,2024-09-07,367.0,339.65,113.26,h
